what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1238648851091
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.202.v200811131900,org.eclipse.wst.common.emfworkbench.integration,1238648851092
started,bundle,org.eclipse.wst.common.modulecore,1.1.205.v200901292145,org.eclipse.wst.common.modulecore,1238648851156
started,bundle,org.eclipse.jst.j2ee.core,1.1.203.v200901221030,org.eclipse.jst.j2ee.core,1238648851248
started,bundle,org.eclipse.jem,2.0.202.v200810282000,org.eclipse.jem,1238648851269
started,bundle,org.eclipse.jst.jee,1.0.103.v200901220530,org.eclipse.jst.jee,1238648851418
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1238648851507
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.202.v200901292145,org.eclipse.wst.common.frameworks.ui,1238648851550
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1238648851560
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1238648851643
started,bundle,org.eclipse.jst.j2ee,1.1.206.v200902052030,org.eclipse.jst.j2ee,1238648851675
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1238648856871
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238648870021
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238648881330
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238648892968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238648898288
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238648901838
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238648912323
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238648917831
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238648926541
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1238648927719
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238648931257
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238648936628
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238648942377
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1238648991927
